Date,Sample,Margin oE,Trump,Kasich,Cruz
--,--,--,60.4,25.1,14.5
4/6 - 4/17,--,--,53.1,22.8,18.1
4/15 - 4/17,361 LV,5.1,55,21,18
4/13 - 4/15,705 LV,5.9,54,19,21
4/13 - 4/13,481 LV,4.5,57,22,20
4/11 - 4/14,14201 LV,1,49,23,14
4/10 - 4/13,313 LV,5.5,54,25,16
4/7 - 4/10,483 LV,4.5,51,25,20
4/6 - 4/11,469 LV,5,50,27,17
4/6 - 4/11,550 LV,4.2,55,20,19
4/6 - 4/10,259 LV,6.1,54,21,18
4/5 - 4/10,324 LV,5.8,60,17,14
4/6 - 4/7,321 LV,5.4,56,17,22
4/6 - 4/7,6041 LV,3,52,23,19
4/4 - 4/7,602 LV,4,54,22,15
4/5 - 4/6,857 LV,3.3,56,24,20
4/3 - 4/5,302 LV,5.6,52,25,17
3/29 - 4/1,657 LV,5.6,52,20,21
3/22 - 3/29,457 LV,4.6,56,19,20
3/24 - 3/26,1796 LV,3,55,22,19
3/22 - 3/24,14234 LV,1,50,24,16
3/14 - 3/16,298 LV,5.6,64,1,12
2/28 - 3/3,229 RV,6.7,45,18,11
